Sponsor,Website,Logo
Facebook,https://www.facebook.com/,fb.png
Two Sigma,https://www.twosigma.com/,twosigma.png
BNY Mellon,https://www.bnymellon.com/,bnymellon.jpg
Microsoft,http://www.microsoft.com/en-us/,microsoft.png
Linode,https://www.linode.com/,linode.png
D. E. Shaw & Co.,https://www.deshaw.com/,deshaw.jpg
Blockchain,https://www.blockchain.com/,blockchain.png
Onename,https://www.onename.com/,onename.png
WalmartLabs,https://www.walmartlabs.com/,walmartlabs.png
Yodle,http://www.yodle.com/,yodle.png
